Date,ABCB,ASB,AUB,AVAL,BAC,BAP,BBD,BBVA,BCH,BCS,BMA,BMO,BNS,BOKF,BPOP,BSAC,BSBR,C,CBSH,CFG,CFR,CIB,CM,COLB,DB,EWBC,FCNCA,FHN,FITB,FLG,FNB,GBCI,GGAL,HBAN,HDB,HOMB,HSBC,HWC,IBN,ING,ITUB,JPM,KB,KEY,LYG,MFG,MTB,MUFG,NWG,PB,PNC,PNFP,RF,RY,SAN,SHG,SMFG,SSB,TD,TFC,UBS,UBSI,UMBF,USB,VLY,WAL,WF,WFC,WTFC,ZION
2017-05-01,41.92218399047852,17.95708465576172,25.22404670715332,4.861754894256592,19.01402282714844,96.41873168945312,4.914422512054443,5.038500308990479,14.412516593933104,8.090581893920898,58.02108383178711,49.11899185180664,34.852970123291016,66.94055938720703,32.746524810791016,15.47670555114746,4.843642711639404,44.404144287109375,35.218040466308594,25.83366203308105,71.9142837524414,18.893075942993164,26.158601760864254,26.326414108276367,15.165575981140137,44.585445404052734,339.8729553222656,13.487895011901855,17.77647590637207,25.576889038085938,10.046523094177246,25.57008171081543,29.424341201782227,8.810637474060059,18.29886817932129,19.944908142089844,24.612592697143555,37.71381759643555,7.394007205963135,9.688217163085938,3.479689598083496,68.19147491455078,36.94678497314453,12.323257446289062,2.493094682693481,3.3933358192443848,119.08943176269533,5.894998073577881,4.089069843292236,51.58989334106445,88.68902587890625,57.74148178100586,9.70368194580078,49.31966781616211,4.889782905578613,34.74620056152344,7.046718120574951,70.33614349365234,32.55244064331055,29.42727279663086,12.562257766723633,27.338476181030277,62.49839019775391,36.408329010009766,8.040393829345703,41.684329986572266,29.72017288208008,41.98115539550781,62.11370849609375,30.48238754272461
2017-05-02,41.43522644042969,17.85040855407715,24.91714859008789,4.765955924987793,18.94959259033203,97.31564331054688,4.983846187591553,5.088510036468506,14.54562282562256,7.972362041473389,58.86499786376953,48.68720626831055,34.733428955078125,66.34481811523438,31.9942684173584,15.58574104309082,5.007355690002441,44.5908317565918,35.08487319946289,25.63188934326172,70.91197967529297,18.70951461791992,25.966064453125,26.194185256958008,15.207194328308104,44.21442794799805,336.456787109375,13.322790145874023,17.539838790893555,25.538286209106445,9.893670082092283,25.40525245666504,29.71194648742676,8.716404914855957,18.558815002441406,19.728199005126957,24.690105438232425,37.07537841796875,7.316357612609863,9.705768585205078,3.548412799835205,67.75282287597656,37.87404251098633,12.276755332946776,2.4863200187683105,3.4391918182373047,118.96807861328124,6.015304088592529,4.077218055725098,50.71446990966797,88.33031463623047,57.15823745727539,9.682694435119627,48.84239959716797,4.927053451538086,35.294960021972656,7.11328649520874,70.45610046386719,32.17826843261719,29.352989196777344,12.679594039916992,27.20212745666504,61.817657470703125,36.3167839050293,8.000021934509277,41.169166564941406,29.80982208251953,42.04282760620117,61.13065719604492,30.076148986816406
2017-05-03,41.52377700805664,17.992637634277344,25.0340576171875,4.77793025970459,19.14287567138672,97.28469848632812,4.961726188659668,5.144771099090576,14.406644821166992,7.979753017425537,58.41009140014648,48.63148880004883,34.683109283447266,67.11531829833984,32.546958923339844,15.52801513671875,4.832352161407471,44.986629486083984,35.351200103759766,25.889310836791992,71.58016204833984,18.747159957885746,25.96932983398437,26.346248626708984,15.373662948608398,44.585445404052734,339.01171875,13.509428024291992,17.72627830505371,25.403169631958008,10.067367553710938,25.6075382232666,30.56001281738281,8.844290733337402,18.561094284057617,19.6817626953125,24.815317153930664,37.30614471435547,7.635586261749268,9.752573013305664,3.483896493911743,68.14443969726562,37.74760437011719,12.529199600219728,2.46599555015564,3.4116783142089844,120.86488342285156,5.996795654296875,4.083144187927246,51.2244987487793,89.63336944580078,57.598899841308594,9.878589630126951,48.92194366455078,4.941960334777832,35.120357513427734,7.151325225830078,70.61604309082031,32.067405700683594,29.812170028686523,12.760263442993164,27.508913040161133,62.11548614501953,36.76749801635742,8.053850173950195,41.71867370605469,29.69775390625,42.57844924926758,62.1050910949707,30.527523040771484
2017-05-04,41.7451171875,18.099321365356445,25.07790946960449,4.6641693115234375,19.207305908203125,97.14862060546876,4.836048603057861,5.276047229766846,14.357708930969238,8.046248435974121,57.651851654052734,48.31113052368164,34.381141662597656,66.86906433105469,31.618133544921875,15.412567138671877,4.703006744384766,44.964237213134766,35.566795349121094,25.97977828979492,70.32733154296875,18.72833824157715,25.476572036743164,26.623920440673828,15.631695747375488,44.88387298583984,343.71502685546875,13.29407787322998,17.86252784729004,25.63784408569336,10.095158576965332,25.914714813232425,30.56001281738281,8.783714294433594,18.606698989868164,19.704978942871094,25.51886749267578,37.30614471435547,7.963441848754883,9.93393325805664,3.3380331993103027,68.22278594970703,38.09321212768555,12.555770874023438,2.526968002319336,3.420849323272705,120.70551300048828,5.941269874572754,4.112774848937988,50.85909652709961,90.37276458740234,58.18341445922852,9.98353099822998,48.76283645629883,5.031407356262207,35.28664016723633,7.141815662384033,70.49610137939453,31.887252807617188,29.751384735107425,12.914266586303713,27.747533798217773,62.4643440246582,36.83790588378906,8.08749008178711,41.94190216064453,29.690284729003903,42.83462142944336,62.5362663269043,30.5952205657959
2017-05-05,41.61229705810547,18.099321365356445,25.026756286621094,4.825829982757568,19.11871337890625,97.32180786132812,4.871238708496094,5.438579559326172,14.551493644714355,7.905866622924805,57.796913146972656,49.12596130371094,35.34996032714844,66.89291381835938,31.47997093200684,15.451051712036133,4.96964168548584,44.986629486083984,35.48435592651367,25.722341537475582,70.12232208251953,19.053112030029297,25.966064453125,26.55780792236328,16.106143951416016,44.9241828918457,340.3084411621094,13.186409950256348,17.78364372253418,25.892065048217773,10.07431411743164,25.974634170532227,30.700136184692383,8.743329048156738,18.80963516235352,19.45731735229492,25.44731712341309,37.15229034423828,8.11874008178711,10.150398254394531,3.399745464324951,68.14443969726562,38.37981796264648,12.44283676147461,2.526968002319336,3.4391918182373047,120.5841293334961,6.006050109863281,4.1779632568359375,50.8057975769043,90.13117980957033,57.598899841308594,9.990525245666504,49.66680145263672,5.210301876068115,35.52776336669922,7.151325225830078,70.3761215209961,32.53165435791016,29.5285587310791,12.94360065460205,27.474836349487305,62.76216506958008,36.45763397216797,8.11440658569336,41.80452728271485,30.116138458251957,42.78029251098633,62.68284606933594,30.655406951904297
2017-05-08,41.7451171875,18.13487243652344,25.17289924621582,4.813854217529297,19.29588890075684,97.3032455444336,4.841075897216797,5.294801712036133,14.230476379394531,7.831979751586914,58.44305419921875,49.07720947265625,35.1989860534668,66.65460205078125,31.83307266235352,15.374082565307615,4.850505352020264,45.1807975769043,35.73167037963867,25.993682861328125,70.40325927734375,19.293153762817383,25.95301055908203,26.890209197998047,15.873079299926758,44.803199768066406,342.08905029296875,13.006952285766602,17.884037017822266,25.950733184814453,10.206320762634276,26.01210594177246,30.87712860107422,8.783714294433594,18.816478729248047,19.728199005126957,25.45328712463379,37.11384201049805,8.179137229919434,10.015841484069824,3.391329765319824,68.22278594970703,39.610538482666016,12.402976036071776,2.4998698234558105,3.430020570755005,121.32009887695312,6.024559020996094,4.100922584533691,51.13314437866211,90.54113006591795,57.598899841308594,10.039501190185549,49.70294952392578,5.091039657592773,36.59201431274414,7.16083574295044,70.21619415283203,32.44850540161133,29.535308837890625,12.94891357421875,27.6452579498291,63.0684928894043,36.61959838867188,8.195143699645996,41.79594039916992,30.885665893554688,42.72594451904297,62.76044464111328,30.99393844604492
2017-05-09,41.34669876098633,17.885969161987305,25.019454956054688,4.7839179039001465,19.312000274658203,98.71971893310548,4.881294250488281,5.176027297973633,14.253963470458984,7.868920803070068,57.83645248413086,48.55488204956055,34.78376770019531,66.05088806152344,31.38786125183105,15.156010627746582,4.878872871398926,44.97916030883789,35.45901107788086,25.86845588684082,69.36300659179688,19.4155330657959,25.760482788085938,26.65087890625,15.689964294433594,44.77095413208008,339.0987854003906,12.956704139709473,17.812328338623047,25.57917594909668,10.13684368133545,25.67496109008789,30.84762191772461,8.7029447555542,18.930492401123047,19.465063095092773,25.584461212158203,36.57540130615234,8.049718856811523,9.908284187316896,3.4025511741638184,67.94865417480469,39.76225662231445,12.270109176635742,2.47954535484314,3.420849323272705,120.87244415283205,5.969032287597656,4.041661262512207,50.6154899597168,89.28199005126953,56.969383239746094,9.941554069519045,48.97256088256836,4.986685276031494,37.00774002075195,7.094266891479492,70.25617218017578,32.10898971557617,29.352989196777344,12.751456260681152,27.338476181030277,62.10698318481445,36.32382583618164,8.134586334228516,41.56412124633789,31.16209602355957,42.44647979736328,61.99153900146485,30.79082489013672
2017-05-10,41.25815582275391,17.95708465576172,24.69605255126953,4.801879405975342,19.44890022277832,100.66815185546876,4.986861228942871,5.151021957397461,14.441876411437988,8.016694068908691,58.07381820678711,48.79167556762695,35.21785354614258,66.70574951171875,31.31877326965332,15.188080787658691,4.95262336730957,45.08371353149414,35.522396087646484,25.889310836791992,69.84896087646484,19.97093391418457,25.97585678100586,26.584400177001957,15.823137283325195,44.89192581176758,336.4084777832031,12.949525833129885,17.6617431640625,25.657394409179688,10.13684368133545,25.69744300842285,31.098339080810547,8.68274974822998,19.0695858001709,19.465063095092773,25.894502639770508,36.84461975097656,8.032465934753418,10.07652759552002,3.447430372238159,68.48129272460938,39.43351745605469,12.290037155151367,2.506644487380981,3.3933358192443848,120.86488342285156,5.950523853302002,4.0594401359558105,50.72968292236328,89.64069366455078,56.56471252441406,10.039501190185549,49.40644454956055,5.009045600891113,36.48393249511719,7.0752482414245605,70.24011993408203,32.41386413574219,29.48897933959961,12.857780456542969,27.27029609680176,62.33673477172852,36.59846878051758,8.127860069274902,41.49544906616211,31.079917907714844,42.47752380371094,62.04331970214844,30.79833221435547
2017-05-11,40.01863861083984,17.601497650146484,24.13744735717773,4.861754894256592,19.38447570800781,101.2372055053711,5.047184944152832,5.044751167297363,14.512343406677246,7.831979751586914,59.66941452026367,48.067378997802734,34.82780456542969,65.83528137207031,31.088476181030277,15.245808601379396,4.946949005126953,45.33014678955078,34.93269729614258,25.743209838867188,68.6568374633789,20.300405502319336,25.57773971557617,26.105762481689453,15.656665802001951,44.3596076965332,332.1986389160156,12.648043632507324,17.525493621826172,25.50094413757324,9.893670082092283,25.2479190826416,31.4976863861084,8.60871410369873,19.10150909423828,18.853626251220703,25.97797203063965,36.190799713134766,8.066973686218262,10.022451400756836,3.525972843170166,68.269775390625,39.88870620727539,12.117314338684082,2.4863200187683105,3.3933358192443848,120.20475769042967,5.969032287597656,4.000176906585693,49.69438171386719,89.12094116210938,55.93521118164063,9.92056369781494,48.96533203125,4.927053451538086,37.12413787841797,7.103776931762695,68.91561889648438,32.09513092041016,29.25779914855957,12.68310260772705,26.45219993591309,60.83913040161133,36.36608123779297,7.95292329788208,40.66261672973633,32.731040954589844,41.71678924560547,61.23120880126953,30.392114639282227
2017-05-12,39.53169631958008,17.49481964111328,23.88020133972168,4.987489700317383,19.32810401916504,103.457763671875,5.142700672149658,5.063505172729492,14.60630226135254,7.854145526885986,57.30241012573242,47.77488327026367,34.53841781616211,65.27626037597656,30.689319610595703,15.245808601379396,5.145506858825684,45.60646057128906,34.875633239746094,25.499698638916016,67.94307708740234,20.32864570617676,25.489614486694336,25.946212768554688,15.623372077941896,44.35155487060547,328.8018493652344,12.655220985412598,17.32471466064453,25.266265869140625,9.81724739074707,25.195486068725582,31.090944290161133,8.588520050048828,19.24516487121582,18.63691711425781,26.073366165161133,36.49848937988281,8.006580352783203,10.070516586303713,3.5961005687713623,68.08180236816406,39.6695442199707,12.097382545471191,2.452446222305298,3.3933358192443848,119.73438262939452,5.9227614402771,3.982398271560669,49.48122787475586,88.44011688232422,55.21579360961914,9.885581970214844,48.777305603027344,4.941960334777832,36.85808181762695,7.037208557128906,68.03260040283203,31.887252807617188,29.244203567504883,12.7362642288208,26.21357727050781,60.63493728637695,36.20410537719727,7.885640144348144,40.49089050292969,32.222999572753906,41.15787887573242,61.01519012451172,30.204036712646484
